Vertex1,Vertex2,Abbreviation,DollarValue,PartnerType,Country,ActivityLevel,DefaultOn
Academy of Motion Picture Arts and Sciences,California Academy of Sciences,CAS,Unknown,Not for Profit,US,c,
Academy of Motion Picture Arts and Sciences,Pacific Interface Inc,Pacific Interface,Unknown,Industry,US,a,
California Academy of Sciences,Pacific Interface Inc,Pacific Interface,Unknown,Industry,US,a,
Calit2 UCI,"City of Daegu, Korea",Daegu,"$1,227,668",Academic,Korea,b,
Calit2 UCI,Embassy of France,France,"$240,000",Government,France,b,1
Calit2 UCSD,Cinegrid,Cinegrid,Unknown,Calit2,US,,
Calit2 UCSD,Cisco,CISCO,Unknown,Industry,US,,
Calit2 UCSD,Cisco,CISCO,Unknown,Industry,US,b,
Calit2 UCSD,CONACYT,CONACYT,"$184,000",Government,Mexico,a,1
Calit2 UCSD,"Juniper Networks, Inc",Juniper Networks,Unknown,Industry,US,,
Calit2 UCSD,King Abdulaziz City for Science and Technology,KACST,"$3,469,803",Academic,Saudi Arabia,a,1
Calit2 UCSD,King Abdullah University of Science and Technology,KAUST,"$8,463,499",Academic,Saudi Arabia,b,1
Calit2 UCSD,King Abdullah University of Science and Technology,KAUST,Unknown,Academic,Saudi Arabia,c,
Calit2 UCSD,Lucasfilm,Lucasfilm,Unknown,Industry,US,b,
Calit2 UCSD,Meyer Sound Lab,Meyer Sound,Unknown,Industry,US,c,
Calit2 UCSD,NCSA-Illinois,NCSA,Unknown,Academic,US,b,
Calit2 UCSD,NLR,NLR,Unknown,Academic,US,,
Calit2 UCSD,Naval Postgraduate School,NPS,Unknown,Academic,US,b,
Calit2 UCSD,NSF-CISE,NSF,Unknown,Academic,US,,
Calit2 UCSD,NorthWestern,Nwestern,Unknown,Academic,US,,
Calit2 UCSD,PRAGMA,PRAGMA,"$4,205,315",Project,US,a,1
Calit2 UCSD,TeraGrid-NSF,TeraGrid,Unknown,Academic,US,,
Calit2 UCSD,"Thetis, SPA",Thetis,"$851,850",Academic,Italy,c,
Calit2 UCSD,United Kingdom,UK,"$8,339",Academic,UK,c,
Calit2 UCSD,University of Maryland,Umaryland,Unknown,Academic,US,,
Calit2 UCSD,University of Southern California,USC,Unknown,Academic,US,c,
Calit2 UCSD,University of Washington,Uwashington,Unknown,Academic,US,,
Calit2 UCSD,Walt Disney Studios,Walt Disney,Unknown,Industry,US,b,
CANARIE-Canada,CENIC,CENIC,Unknown,Network,US,,
CANARIE-Canada,CENIC,CENIC,Unknown,Network,Canada,,
CANARIE-Canada,CISCO,CISCO,Unknown,Academic,US,,
CANARIE-Canada,EVL-UIUC,EVL,Unknown,Academic,US,,
CANARIE-Canada,Internet 2,I2,Unknown,Network,US,,
CANARIE-Canada,StarLight,StarLight,Unknown,Network,US,,
Cinegrid,Academy of Motion Picture Arts and Science,AMPAS,Unknown,Not for Profit,US,b,
Cinegrid,Calit2 UCSD,Calit2,Unknown,Academic,US,a,1
Cinegrid,California Academy of Sciences,CAS,Unknown,Not for Profit,US,c,
Cinegrid,Cisco ,CISCO,Unknown,Industry,US,b,
Cinegrid,CPqD-Brazil,CPqD,Unknown,Industry,Brazil,b,
Cinegrid,Cyberport,Cyberport,Unknown,Industry,US,c,
Cinegrid,Dark Strand,Dark Strand,Unknown,Industry,US,d,
Cinegrid,Digital Domain,Digital Domain,Unknown,Industry,US,d,
Cinegrid,EVL-UIUC,EVL,Unknown,Academic,US,a,
Cinegrid,I2cat-Spain,I2cat,Unknown,Industry,Spain,d,
Cinegrid,INGI-San Francisco State University,INGI,Unknown,Academic,US,d,
Cinegrid,IntoPIX,IntoPix,Unknown,Industry,Japan,b,
Cinegrid,JVC America,JVC-US,Unknown,Industry,US,b,
Cinegrid,KAIST,KAIST,Unknown,Academic,Korea,d,
Cinegrid,King Abdullah University of Science and Technology,KAUST,Unknown,Academic,Saudi Arabia,c,
Cinegrid,Keio University DMC,KEIOU,Unknown,Academic,Japan,a,
Cinegrid,KTH Royal Insitute of Techology,KTH,Unknown,Academic,Sweden,d,
Cinegrid,Louisiana State University ,LSU,Unknown,Academic,US,c,
Cinegrid,Lucasfilm,Lucasfilm,Unknown,Industry,US,b,
Cinegrid,MacKenzie,MacKenzie,Unknown,Industry,US,c,
Cinegrid,Mechdyne Corporation,Mechdyne,Unknown,Industry,US,c,
Cinegrid,Meyer Sound Lab,Meyer Sound,Unknown,Industry,US,c,
Cinegrid,NCSA-Illinois,NCSA,Unknown,Academic,US,b,
Cinegrid,NetApp,NetApp,Unknown,Industry,US,d,
Cinegrid,Naval Postgraduate School,NPS,Unknown,Academic,US,b,
