,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,
Vertex 1,Vertex 2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,ID,Dynamic Filter,Dollar Value,Partner Type,Country,Activity Level
Calit2 UCI,"City of Daegu, Korea",,,,,,,,,,3,TRUE,"$1,227,668",Academic,Korea,b
Calit2 UCI,Embassy of France,,,,,,,,,,4,TRUE,"$240,000",Government,France,b
Calit2 UCSD,"Thetis, SPA",,,,,,,,,,5,TRUE,"$851,850",Academic,Italy,c
Calit2 UCSD,King Abdulaziz City for Science and Technology,,,,,,,,,,6,TRUE,"$3,469,803",Academic,Saudi Arabia,a
Calit2 UCSD,King Abdullah University of Science and Technology,,,,,,,,,,7,TRUE,"$8,463,499",Academic,Saudi Arabia,b
Calit2 UCSD,United Kingdom,,,,,,,,,,8,TRUE,"$8,339",Academic,UK,c
Calit2 UCSD,CONACYT,,,,,,,,,,9,TRUE,"$184,000",Government,Mexoci,a
Calit2 UCSD,PRAGMA,, ,,,,,,,,10,TRUE,"$4,205,315",Project,US,a
PRAGMA,"Cybermedia Center and Research Center for Ultra-high Voltage Electron Microscopy, Osaka University",,,,,,,,,,,TRUE,Unkown,Academic,Japan,a
PRAGMA,Monash University,,,,,,,,,,,TRUE,Unkown,Academic,Australia,a
PRAGMA,National Center for Higher Performance Computing-Taiwan,,,,,,,,,,,TRUE,Unkown,Academic,Taiwan,a
PRAGMA,National Institute of Advanced Industrial Science and Technology-Japan,,,,,,,,,,,TRUE,Unkown,Academic,Japan,a
PRAGMA,UCSD,,,,,,,,,,,TRUE,Unkown,Academic,US,a
PRAGMA,"Center for Computational Sciences, University of Tsukuba",,,,,,,,,,,TRUE,Unkown,Academic,Japan,b
PRAGMA,"College of Computer Science and Technology, Jilin University",,,,,,,,,,,TRUE,Unkown,Academic,Canada,b
PRAGMA,"Computer Network Information Center, Chinese Academy of Sciences",,,,,,,,,,,TRUE,Unkown,Academic,China,b
PRAGMA,University of Hong Kong,,,,,,,,,,,TRUE,Unkown,Academic,Hong Kong,b
PRAGMA,Kasetsart University,,,,,,,,,,,TRUE,Unkown,Academic,Thailand,b
PRAGMA,Konkuk University,,,,,,,,,,,TRUE,Unkown,Academic,Korea,b
PRAGMA,Korea Institute of Science and Technology Information,,,,,,,,,,,TRUE,Unkown,Academic,Korea,b
PRAGMA,National Electronics and Computer Technology Center-Thailand,,,,,,,,,,,TRUE,Unkown,Academic,Thailand,b
PRAGMA,"TransPAC2, Indiana",,,,,,,,,,,TRUE,Unkown,Network,US,b
PRAGMA,Universiti Sains Malaysia,,,,,,,,,,,TRUE,Unkown,Academic,Malaysia,b
PRAGMA,University of Hyderabad,,,,,,,,,,,TRUE,Unkown,Academic,India,b
PRAGMA,Malaysian Institute of Microelectronic Systems (MIMOS),,,,,,,,,,,TRUE,Unkown,Academic,Malaysia,c
